wavelength_um,qe
0.8,0
0.820408,0
0.840816,0
0.861224,0.052381
0.881633,0.147619
0.902041,0.242857
0.922449,0.338095
0.942857,0.433333
0.963265,0.528571
0.983673,0.62381
1.00408,0.751282
1.02449,0.757663
1.0449,0.763919
1.06531,0.769946
1.08571,0.775645
1.10612,0.780923
1.12653,0.785694
1.14694,0.789878
1.16735,0.793408
1.18776,0.796225
1.20816,0.798282
1.22857,0.799547
1.24898,0.799999
1.26939,0.799629
1.2898,0.798445
1.3102,0.796465
1.33061,0.793722
1.35102,0.790262
1.37143,0.78614
1.39184,0.781424
1.41224,0.776193
1.43265,0.770532
1.45306,0.764533
1.47347,0.758296
1.49388,0.751923
1.51429,0.7
1.53469,0.628571
1.5551,0.557143
1.57551,0.485714
1.59592,0.414286
1.61633,0.342857
1.63673,0.271429
1.65714,0.2
1.67755,0.128571
1.69796,0.0571429
1.71837,0.0346285
1.73878,0.0230234
1.75918,0.0153076
1.77959,0.0101776
1.8,0.00676676
