wavelength_um,qe
0.8,0
0.820408,0
0.840816,0
0.861224,0.0411565
0.881633,0.115986
0.902041,0.190816
0.922449,0.265646
0.942857,0.340476
0.963265,0.415306
0.983673,0.490136
1.00408,0.581026
1.02449,0.586131
1.0449,0.591135
1.06531,0.595956
1.08571,0.600516
1.10612,0.604739
1.12653,0.608555
1.14694,0.611902
1.16735,0.614726
1.18776,0.61698
1.20816,0.618626
1.22857,0.619638
1.24898,0.619999
1.26939,0.619704
1.2898,0.618756
1.3102,0.617172
1.33061,0.614978
1.35102,0.612209
1.37143,0.608912
1.39184,0.60514
1.41224,0.600955
1.43265,0.596426
1.45306,0.591627
1.47347,0.586637
1.49388,0.581538
1.51429,0.540714
1.53469,0.484592
1.5551,0.428469
1.57551,0.372347
1.59592,0.316224
1.61633,0.260102
1.63673,0.20398
1.65714,0.147857
1.67755,0.0917347
1.69796,0.0356122
1.71837,0.0207771
1.73878,0.0138141
1.75918,0.00918456
1.77959,0.00610654
1.8,0.00406006
