wavelength_um,qe
2.5,0
2.70192,0
2.90385,0
3.10577,0.0387821
3.30769,0.112821
3.50962,0.186859
3.71154,0.260897
3.91346,0.334936
4.11538,0.408974
4.31731,0.483013
4.51923,0.550671
4.72115,0.557689
4.92308,0.564554
5.125,0.571131
5.32692,0.577288
5.52885,0.582904
5.73077,0.587867
5.93269,0.592079
6.13462,0.595456
6.33654,0.597931
6.53846,0.599456
6.74038,0.599999
6.94231,0.59955
7.14423,0.598118
7.34615,0.595732
7.54808,0.592438
7.75,0.588302
7.95192,0.583407
8.15385,0.577848
8.35577,0.571737
8.55769,0.565195
8.75962,0.558352
8.96154,0.551342
9.16346,0.505048
9.36538,0.449519
9.56731,0.39399
9.76923,0.338462
9.97115,0.282933
10.1731,0.227404
10.375,0.171875
10.5769,0.116346
10.7788,0.0608173
10.9808,0.00528846
11.1827,0.0057806
11.3846,0.00315421
11.5865,0.00172111
11.7885,0.000939132
11.9904,0.000512441
12.1923,0.000279616
12.3942,0.000152574
12.5962,8.32526e-05
12.7981,4.54271e-05
13,2.47875e-05
