wavelength_um,emissivity
0.3,0.12
0.32,0.1188
0.34,0.1176
0.36,0.1164
0.38,0.1152
0.4,0.114
0.42,0.1128
0.44,0.1116
0.46,0.1104
0.48,0.1092
0.5,0.108
0.52,0.1068
0.54,0.1056
0.56,0.1044
0.58,0.1032
0.6,0.102
0.62,0.1008
0.64,0.0996
0.66,0.0984
0.68,0.0972
0.7,0.096
0.72,0.0948
0.74,0.0936
0.76,0.0924
0.78,0.0912
0.8,0.08
0.82,0.0796667
0.84,0.0793333
0.86,0.079
0.88,0.0786667
0.9,0.0783333
0.92,0.078
0.94,0.0776667
0.96,0.0773333
0.98,0.077
1,0.0766667
1.05,0.0758333
1.15357,0.0741071
1.25714,0.072381
1.36071,0.0706548
1.46429,0.0689286
1.56786,0.0672024
1.67143,0.0654762
1.775,0.06375
1.87857,0.0620238
1.98214,0.0602976
2.08571,0.0497143
2.18929,0.049369
2.29286,0.0490238
2.39643,0.0486786
2.5,0.0483333
2.6,0.048
2.80714,0.0473095
3.01429,0.046619
3.22143,0.0459286
3.42857,0.0452381
3.63571,0.0445476
3.84286,0.0438571
4.05,0.0431667
4.25714,0.0424762
4.46429,0.0417857
4.67143,0.0410952
4.87857,0.0404048
5.08571,0.0300476
5.29286,0.0301627
5.5,0.0302778
5.8,0.0304444
6.28235,0.0307124
6.76471,0.0309804
7.24706,0.0312484
7.72941,0.0315163
8.21176,0.0317843
8.69412,0.0320523
9.17647,0.0323203
9.65882,0.0325882
10.1412,0.0328562
10.6235,0.0331242
11.1059,0.0333922
11.5882,0.0336601
12.0706,0.0339281
12.5529,0.0341961
13.0353,0.0344641
13.5176,0.034732
14,0.035
