wavelength_um,emissivity
0.3,0.9
0.32,0.9
0.34,0.9
0.36,0.9
0.38,0.9
0.4,0.9
0.42,0.9
0.44,0.9
0.46,0.9
0.48,0.9
0.5,0.88
0.52,0.88
0.54,0.88
0.56,0.88
0.58,0.88
0.6,0.88
0.62,0.88
0.64,0.88
0.66,0.88
0.68,0.88
0.7,0.88
0.72,0.88
0.74,0.88
0.76,0.88
0.78,0.88
0.8,0.88
0.82,0.88
0.84,0.88
0.86,0.88
0.88,0.88
0.9,0.88
0.92,0.88
0.94,0.88
0.96,0.88
0.98,0.88
1,0.9
1.05,0.9
1.15357,0.9
1.25714,0.9
1.36071,0.9
1.46429,0.9
1.56786,0.9
1.67143,0.9
1.775,0.9
1.87857,0.9
1.98214,0.9
2.08571,0.9
2.18929,0.9
2.29286,0.9
2.39643,0.9
2.5,0.95
2.6,0.95
2.80714,0.95
3.01429,0.95
3.22143,0.95
3.42857,0.95
3.63571,0.95
3.84286,0.95
4.05,0.95
4.25714,0.95
4.46429,0.95
4.67143,0.95
4.87857,0.95
5.08571,0.95
5.29286,0.95
5.5,0.95
5.8,0.95
6.28235,0.95
6.76471,0.95
7.24706,0.95
7.72941,0.95
8.21176,0.95
8.69412,0.95
9.17647,0.95
9.65882,0.95
10.1412,0.95
10.6235,0.95
11.1059,0.95
11.5882,0.95
12.0706,0.95
12.5529,0.95
13.0353,0.95
13.5176,0.95
14,0.95
