wavelength_um,emissivity
0.3,1
0.32,1
0.34,1
0.36,1
0.38,1
0.4,1
0.42,1
0.44,1
0.46,1
0.48,1
0.5,1
0.52,1
0.54,1
0.56,1
0.58,1
0.6,1
0.62,1
0.64,1
0.66,1
0.68,1
0.7,1
0.72,1
0.74,1
0.76,1
0.78,1
0.8,1
0.82,1
0.84,1
0.86,1
0.88,1
0.9,1
0.92,1
0.94,1
0.96,1
0.98,1
1,1
1.05,1
1.15357,1
1.25714,1
1.36071,1
1.46429,1
1.56786,1
1.67143,1
1.775,1
1.87857,1
1.98214,1
2.08571,1
2.18929,1
2.29286,1
2.39643,1
2.5,1
2.6,1
2.80714,1
3.01429,1
3.22143,1
3.42857,1
3.63571,1
3.84286,1
4.05,1
4.25714,1
4.46429,1
4.67143,1
4.87857,1
5.08571,1
5.29286,1
5.5,1
5.8,1
6.28235,1
6.76471,1
7.24706,1
7.72941,1
8.21176,1
8.69412,1
9.17647,1
9.65882,1
10.1412,1
10.6235,1
11.1059,1
11.5882,1
12.0706,1
12.5529,1
13.0353,1
13.5176,1
14,1
