wavelength_um,emissivity
0.3,0.6
0.32,0.6
0.34,0.6
0.36,0.6
0.38,0.6
0.4,0.6
0.42,0.6
0.44,0.6
0.46,0.6
0.48,0.6
0.5,0.55
0.52,0.55
0.54,0.55
0.56,0.55
0.58,0.55
0.6,0.55
0.62,0.55
0.64,0.55
0.66,0.55
0.68,0.55
0.7,0.55
0.72,0.55
0.74,0.55
0.76,0.55
0.78,0.55
0.8,0.55
0.82,0.55
0.84,0.55
0.86,0.55
0.88,0.55
0.9,0.55
0.92,0.55
0.94,0.55
0.96,0.55
0.98,0.55
1,0.72
1.05,0.72
1.15357,0.72
1.25714,0.72
1.36071,0.72
1.46429,0.72
1.56786,0.72
1.67143,0.72
1.775,0.72
1.87857,0.72
1.98214,0.72
2.08571,0.72
2.18929,0.72
2.29286,0.72
2.39643,0.72
2.5,0.92
2.6,0.92
2.80714,0.92
3.01429,0.92
3.22143,0.92
3.42857,0.92
3.63571,0.92
3.84286,0.92
4.05,0.92
4.25714,0.92
4.46429,0.92
4.67143,0.92
4.87857,0.92
5.08571,0.92
5.29286,0.92
5.5,0.92
5.8,0.92
6.28235,0.92
6.76471,0.92
7.24706,0.92
7.72941,0.92
8.21176,0.91
8.69412,0.91
9.17647,0.91
9.65882,0.91
10.1412,0.94
10.6235,0.94
11.1059,0.94
11.5882,0.94
12.0706,0.94
12.5529,0.94
13.0353,0.94
13.5176,0.94
14,0.94
