wavelength_um,emissivity
0.3,0.05
0.32,0.05
0.34,0.05
0.36,0.05
0.38,0.05
0.4,0.05
0.42,0.05
0.44,0.05
0.46,0.05
0.48,0.05
0.5,0.05
0.52,0.05
0.54,0.05
0.56,0.05
0.58,0.05
0.6,0.05
0.62,0.05
0.64,0.05
0.66,0.05
0.68,0.05
0.7,0.12
0.72,0.12
0.74,0.12
0.76,0.12
0.78,0.12
0.8,0.12
0.82,0.12
0.84,0.12
0.86,0.12
0.88,0.12
0.9,0.12
0.92,0.12
0.94,0.12
0.96,0.12
0.98,0.12
1,0.25
1.05,0.25
1.15357,0.25
1.25714,0.25
1.36071,0.25
1.46429,0.55
1.56786,0.55
1.67143,0.55
1.775,0.55
1.87857,0.55
1.98214,0.55
2.08571,0.7
2.18929,0.7
2.29286,0.7
2.39643,0.7
2.5,0.95
2.6,0.95
2.80714,0.95
3.01429,0.95
3.22143,0.95
3.42857,0.95
3.63571,0.95
3.84286,0.95
4.05,0.99
4.25714,0.99
4.46429,0.99
4.67143,0.99
4.87857,0.99
5.08571,0.99
5.29286,0.99
5.5,0.99
5.8,0.99
6.28235,0.99
6.76471,0.99
7.24706,0.99
7.72941,0.99
8.21176,0.99
8.69412,0.99
9.17647,0.99
9.65882,0.99
10.1412,0.99
10.6235,0.99
11.1059,0.99
11.5882,0.99
12.0706,0.99
12.5529,0.99
13.0353,0.99
13.5176,0.99
14,0.99
