wavelength_um,emissivity
0.3,0.5
0.32,0.500438
0.34,0.500876
0.36,0.501314
0.38,0.501752
0.4,0.50219
0.42,0.502628
0.44,0.503066
0.46,0.503504
0.48,0.503942
0.5,0.50438
0.52,0.504818
0.54,0.505255
0.56,0.505693
0.58,0.506131
0.6,0.506569
0.62,0.507007
0.64,0.507445
0.66,0.507883
0.68,0.508321
0.7,0.508759
0.72,0.509197
0.74,0.509635
0.76,0.510073
0.78,0.510511
0.8,0.510949
0.82,0.511387
0.84,0.511825
0.86,0.512263
0.88,0.512701
0.9,0.513139
0.92,0.513577
0.94,0.514015
0.96,0.514453
0.98,0.514891
1,0.515328
1.05,0.516423
1.15357,0.518691
1.25714,0.520959
1.36071,0.523227
1.46429,0.525495
1.56786,0.527763
1.67143,0.530031
1.775,0.532299
1.87857,0.534567
1.98214,0.536835
2.08571,0.539103
2.18929,0.541371
2.29286,0.543639
2.39643,0.545907
2.5,0.548175
2.6,0.550365
2.80714,0.554901
3.01429,0.559437
3.22143,0.563973
3.42857,0.568509
3.63571,0.573045
3.84286,0.577581
4.05,0.582117
4.25714,0.586653
4.46429,0.591189
4.67143,0.595725
4.87857,0.600261
5.08571,0.604797
5.29286,0.609333
5.5,0.613869
5.8,0.620438
6.28235,0.631
6.76471,0.641563
7.24706,0.652125
7.72941,0.662688
8.21176,0.67325
8.69412,0.683813
9.17647,0.694375
9.65882,0.704938
10.1412,0.7155
10.6235,0.726063
11.1059,0.736625
11.5882,0.747188
12.0706,0.75775
12.5529,0.768313
13.0353,0.778875
13.5176,0.789438
14,0.8
