wavelength_um,emissivity
0.3,0.8
0.32,0.8
0.34,0.8
0.36,0.8
0.38,0.8
0.4,0.8
0.42,0.8
0.44,0.8
0.46,0.8
0.48,0.8
0.5,0.75
0.52,0.75
0.54,0.75
0.56,0.75
0.58,0.75
0.6,0.75
0.62,0.75
0.64,0.75
0.66,0.75
0.68,0.75
0.7,0.75
0.72,0.75
0.74,0.75
0.76,0.75
0.78,0.75
0.8,0.75
0.82,0.75
0.84,0.75
0.86,0.75
0.88,0.75
0.9,0.75
0.92,0.82
0.94,0.82
0.96,0.82
0.98,0.82
1,0.82
1.05,0.82
1.15357,0.82
1.25714,0.82
1.36071,0.82
1.46429,0.82
1.56786,0.82
1.67143,0.82
1.775,0.82
1.87857,0.82
1.98214,0.82
2.08571,0.82
2.18929,0.82
2.29286,0.82
2.39643,0.82
2.5,0.92
2.6,0.92
2.80714,0.92
3.01429,0.92
3.22143,0.92
3.42857,0.92
3.63571,0.92
3.84286,0.92
4.05,0.92
4.25714,0.92
4.46429,0.92
4.67143,0.92
4.87857,0.92
5.08571,0.92
5.29286,0.92
5.5,0.92
5.8,0.92
6.28235,0.92
6.76471,0.92
7.24706,0.92
7.72941,0.92
8.21176,0.88
8.69412,0.88
9.17647,0.88
9.65882,0.95
10.1412,0.95
10.6235,0.92
11.1059,0.92
11.5882,0.92
12.0706,0.92
12.5529,0.92
13.0353,0.94
13.5176,0.94
14,0.94
