wavelength_um,emissivity
0.3,0.85
0.32,0.85
0.34,0.85
0.36,0.85
0.38,0.85
0.4,0.85
0.42,0.85
0.44,0.85
0.46,0.85
0.48,0.85
0.5,0.8
0.52,0.8
0.54,0.8
0.56,0.88
0.58,0.88
0.6,0.88
0.62,0.88
0.64,0.88
0.66,0.88
0.68,0.88
0.7,0.92
0.72,0.5
0.74,0.5
0.76,0.5
0.78,0.5
0.8,0.5
0.82,0.5
0.84,0.5
0.86,0.5
0.88,0.5
0.9,0.5
0.92,0.5
0.94,0.5
0.96,0.5
0.98,0.5
1,0.5
1.05,0.5
1.15357,0.5
1.25714,0.5
1.36071,0.7
1.46429,0.7
1.56786,0.55
1.67143,0.55
1.775,0.55
1.87857,0.75
1.98214,0.75
2.08571,0.65
2.18929,0.65
2.29286,0.65
2.39643,0.65
2.5,0.65
2.6,0.97
2.80714,0.97
3.01429,0.97
3.22143,0.97
3.42857,0.97
3.63571,0.97
3.84286,0.97
4.05,0.97
4.25714,0.97
4.46429,0.97
4.67143,0.97
4.87857,0.97
5.08571,0.97
5.29286,0.97
5.5,0.97
5.8,0.97
6.28235,0.97
6.76471,0.97
7.24706,0.97
7.72941,0.97
8.21176,0.97
8.69412,0.97
9.17647,0.97
9.65882,0.97
10.1412,0.97
10.6235,0.97
11.1059,0.97
11.5882,0.97
12.0706,0.97
12.5529,0.97
13.0353,0.97
13.5176,0.97
14,0.97
