wavelength_um,emissivity
0.3,0.96
0.32,0.96
0.34,0.96
0.36,0.96
0.38,0.96
0.4,0.96
0.42,0.96
0.44,0.96
0.46,0.96
0.48,0.96
0.5,0.96
0.52,0.96
0.54,0.96
0.56,0.96
0.58,0.96
0.6,0.96
0.62,0.96
0.64,0.96
0.66,0.96
0.68,0.96
0.7,0.97
0.72,0.97
0.74,0.97
0.76,0.97
0.78,0.97
0.8,0.97
0.82,0.97
0.84,0.97
0.86,0.97
0.88,0.97
0.9,0.97
0.92,0.97
0.94,0.97
0.96,0.97
0.98,0.97
1,0.98
1.05,0.98
1.15357,0.98
1.25714,0.98
1.36071,0.98
1.46429,0.98
1.56786,0.98
1.67143,0.98
1.775,0.98
1.87857,0.98
1.98214,0.98
2.08571,0.98
2.18929,0.98
2.29286,0.98
2.39643,0.98
2.5,0.985
2.6,0.985
2.80714,0.985
3.01429,0.985
3.22143,0.985
3.42857,0.985
3.63571,0.985
3.84286,0.985
4.05,0.985
4.25714,0.985
4.46429,0.985
4.67143,0.985
4.87857,0.985
5.08571,0.985
5.29286,0.985
5.5,0.985
5.8,0.985
6.28235,0.985
6.76471,0.985
7.24706,0.985
7.72941,0.985
8.21176,0.985
8.69412,0.985
9.17647,0.985
9.65882,0.985
10.1412,0.985
10.6235,0.985
11.1059,0.985
11.5882,0.985
12.0706,0.985
12.5529,0.985
13.0353,0.985
13.5176,0.985
14,0.985
