architecture,scene_temp_K,well_bound_e,well_fill_pct,well_status,saturation_mechanism,snr,nedt_mK,dynamic_range_dB,sigma_total_e
analog_well,200.0,2000000.0,4.633384515937033,ok,charge_well,301.48594246659604,37.961807385447074,76.26738385112674,307.3695229720637
digital_counting,200.0,22500000.0,0.4118564014166252,ok,none,303.7584634619151,37.67780211586385,97.35566070822215,305.0699864050347
analog_well,250.0,2000000.0,10.29416757638172,ok,charge_well,451.76383737715764,41.81720868249806,72.84640881847685,455.7320318575026
digital_counting,250.0,22500000.0,0.9150371179005974,ok,none,453.3033435632112,41.675189320928496,93.89900844124807,454.18427737435144
analog_well,300.0,2000000.0,53.555463319052286,ok,charge_well,1034.0714584659386,26.981891942611735,65.71493621984102,1035.8173582801069
digital_counting,300.0,22500000.0,4.760485628360204,ok,none,1034.7507958422016,26.96417771832454,86.74369102514602,1035.1373206814028
analog_well,400.0,2000000.0,733.0417763749788,clipped,charge_well,1413.574582540679,34.56493095031551,63.00637498484633,1414.8527603016978
digital_counting,400.0,22500000.0,65.15926901110922,ok,none,3828.8947925128577,12.760890671162407,75.38194465447273,3828.9992862086046
analog_well,500.0,2000000.0,3798.24167498792,clipped,charge_well,1413.574582540679,53.13294321367071,63.00637498484633,1414.8527603016978
digital_counting,500.0,22500000.0,337.6214822211484,clipped,dead_time,4743.374305368313,15.834166394462994,73.52174797267863,4743.458654429955
analog_well,700.0,2000000.0,26009.95523627848,clipped,charge_well,1413.574582540679,101.4582886740019,63.00637498484633,1414.8527603016978
digital_counting,700.0,22500000.0,2311.996021002532,clipped,dead_time,4743.374305368313,30.235618954913527,73.52174797267863,4743.458654429955
analog_well,1000.0,2000000.0,115319.66904491826,clipped,charge_well,1413.574582540679,199.01103312682918,63.00637498484633,1414.8527603016978
digital_counting,1000.0,22500000.0,10250.637248437179,clipped,dead_time,4743.374305368313,59.30734535431168,73.52174797267863,4743.458654429955
analog_well,1500.0,2000000.0,393035.1669269761,clipped,charge_well,1413.574582540679,412.5679775908383,63.00637498484633,1414.8527603016978
digital_counting,1500.0,22500000.0,34936.459282397875,clipped,dead_time,4743.374305368313,122.94952267051538,73.52174797267863,4743.458654429955
