scheme,scene_temp_K,hours_since_cal,signal_e,well_fill_pct,sigma_temporal_e,sigma_readout_total_e,nuc_residual_e,gain_drift_e,offset_drift_e,sigma_calibration_e,sigma_total_e,nedt_mK,cal_floor_mK,accuracy_pct,accuracy_K,bias_K
none,280.0,0.0,4341454.347369621,21.707571736848102,2145.890882757778,2145.890882757778,0.0,0.0,0.0,0.0,2145.890882757778,26.844365589723182,0.0,,,
none_detection,280.0,0.0,4341454.347369621,21.707571736848102,2145.890882757778,86856.11773386222,0.0,0.0,0.0,0.0,86856.11773386222,1086.5405118620938,0.0,,,
two_point,280.0,0.0,4341454.347369621,21.707571736848102,2145.890882757778,2145.890882757778,1195.9045585513932,0.0,0.0,1195.9045585513932,2456.630903059505,30.731617628194673,14.960359558875966,0.9551389340674744,0.5187370849787495,0.5187370849787495
none,285.0,0.0,4752807.094256679,23.764335471283392,2239.6875736562033,2239.6875736562033,0.0,0.0,0.0,0.0,2239.6875736562033,26.46953385332481,0.0,,,
none_detection,285.0,0.0,4752807.094256679,23.764335471283392,2239.6875736562033,95082.99695799578,0.0,0.0,0.0,0.0,95082.99695799578,1123.7293256695914,0.0,,,
two_point,285.0,0.0,4752807.094256679,23.764335471283392,2239.6875736562033,2239.6875736562033,525.1360212901313,0.0,0.0,525.1360212901313,2300.4278446511726,27.18738694956574,6.2062699532899765,0.9551389340674744,0.5365072421871744,0.5365072421871744
none,290.0,0.0,5187695.029393896,25.938775146969483,2334.7565960346337,2334.7565960346337,0.0,0.0,0.0,0.0,2334.7565960346337,26.130157437149364,0.0,,,
none_detection,290.0,0.0,5187695.029393896,25.938775146969483,2334.7565960346337,103780.60018886952,0.0,0.0,0.0,0.0,103780.60018886952,1161.4929909450768,0.0,,,
two_point,290.0,0.0,5187695.029393896,25.938775146969483,2334.7565960346337,2334.7565960346337,0.0,0.0,0.0,0.0,2334.7565960346337,26.130157437149364,0.0,0.9551389340674744,0.554550882811337,0.554550882811337
none,295.0,0.0,5646407.7740573175,28.23233887028659,2431.0082491408066,2431.0082491408066,0.0,0.0,0.0,0.0,2431.0082491408066,25.822646975175065,0.0,,,
none_detection,295.0,0.0,5646407.7740573175,28.23233887028659,2431.0082491408066,112954.71703953473,0.0,0.0,0.0,0.0,112954.71703953473,1199.82718418318,0.0,,,
two_point,295.0,0.0,5646407.7740573175,28.23233887028659,2431.0082491408066,2431.0082491408066,348.9519388036593,0.0,0.0,348.9519388036593,2455.9251949083227,26.087319665809314,3.706636014178275,0.9551389340674744,0.572866086435961,0.572866086435961
none,300.0,0.0,6129198.209955128,30.646291049775638,2528.3574793308917,2528.3574793308917,0.0,0.0,0.0,0.0,2528.3574793308917,25.54388533073671,0.0,,,
none_detection,300.0,0.0,6129198.209955128,30.646291049775638,2528.3574793308917,122610.40278177927,0.0,0.0,0.0,0.0,122610.40278177927,1238.7275512330064,0.0,,,
two_point,300.0,0.0,6129198.209955128,30.646291049775638,2528.3574793308917,2528.3574793308917,488.94588454305153,0.0,0.0,488.94588454305153,2575.2008895035833,26.01714226047616,4.939798944494431,0.9551389340674744,0.5914508938899468,0.5914508938899468
none,305.0,0.0,6636283.745249749,33.18171872624875,2626.723639552338,2626.723639552338,0.0,0.0,0.0,0.0,2626.723639552338,25.29115205633921,0.0,,,
none_detection,305.0,0.0,6636283.745249749,33.18171872624875,2626.723639552338,132752.00358587812,0.0,0.0,0.0,0.0,132752.00358587812,1278.1897029130664,0.0,,,
two_point,305.0,0.0,6636283.745249749,33.18171872624875,2626.723639552338,2626.723639552338,385.00874475408807,0.0,0.0,385.00874475408807,2654.7897868042587,25.56138421441462,3.70701910165754,0.9551389340674744,0.6103033098321755,0.6103033098321755
none,310.0,0.0,7167847.659799754,35.83953829899877,2726.030262695755,2726.030262695755,0.0,0.0,0.0,0.0,2726.030262695755,25.062061827293874,0.0,,,
none_detection,310.0,0.0,7167847.659799754,35.83953829899877,2726.030262695755,143383.18336064328,0.0,0.0,0.0,0.0,143383.18336064328,1318.2092126978398,0.0,,,
two_point,310.0,0.0,7167847.659799754,35.83953829899877,2726.030262695755,2726.030262695755,0.0,0.0,0.0,0.0,2726.030262695755,25.062061827293874,0.0,0.9551389340674744,0.629421305303327,0.629421305303327
none,315.0,0.0,7724040.50994804,38.6205025497402,2826.204848074777,2826.204848074777,0.0,0.0,0.0,0.0,2826.204848074777,24.8545139606638,0.0,,,
