wavelength_um,L_W_m2_sr_um
7.500000000000000000e+00,2.659291511123618434e+01
7.512531328320801727e+00,2.659388884983211554e+01
7.525062656641604342e+00,2.659449397174463314e+01
7.537593984962406068e+00,2.659473294652061881e+01
7.550125313283207795e+00,2.659460824030382753e+01
7.562656641604010410e+00,2.659412231565887197e+01
7.575187969924812137e+00,2.659327763139939904e+01
7.587719298245613864e+00,2.659207664241912283e+01
7.600250626566415590e+00,2.659052179952637474e+01
7.612781954887218205e+00,2.658861554928183679e+01
7.625313283208019932e+00,2.658636033383954356e+01
7.637844611528821659e+00,2.658375859079086823e+01
7.650375939849624274e+00,2.658081275301214319e+01
7.662907268170426001e+00,2.657752524851471065e+01
7.675438596491227727e+00,2.657389850029857570e+01
7.687969924812030342e+00,2.656993492620905428e+01
7.700501253132832069e+00,2.656563693879594368e+01
7.713032581453633796e+00,2.656100694517629535e+01
7.725563909774436411e+00,2.655604734689976354e+01
7.738095238095238138e+00,2.655076053981663620e+01
7.750626566416039864e+00,2.654514891394940079e+01
7.763157894736842479e+00,2.653921485336643826e+01
7.775689223057644206e+00,2.653296073605873318e+01
7.788220551378445933e+00,2.652638893381954333e+01
7.800751879699248548e+00,2.651950181212652780e+01
7.813283208020050274e+00,2.651230173002659640e+01
7.825814536340852001e+00,2.650479104002352670e+01
7.838345864661653728e+00,2.649697208796805370e+01
7.850877192982456343e+00,2.648884721295065603e+01
7.863408521303258070e+00,2.648041874719667632e+01
7.875939849624059796e+00,2.647168901596427659e+01
7.888471177944862411e+00,2.646266033744463186e+01
7.901002506265664138e+00,2.645333502266462489e+01
7.913533834586465865e+00,2.644371537539183237e+01
7.926065162907268480e+00,2.643380369204233915e+01
7.938596491228070207e+00,2.642360226159018666e+01
7.951127819548871933e+00,2.641311336547989086e+01
7.963659147869674548e+00,2.640233927754060872e+01
7.976190476190476275e+00,2.639128226390295850e+01
7.988721804511278002e+00,2.637994458291797528e+01
8.001253132832079729e+00,2.636832848507815541e+01
8.013784461152882344e+00,2.635643621294072148e+01
8.026315789473684958e+00,2.634427000105305439e+01
8.038847117794485797e+00,2.633183207588024999e+01
8.051378446115288412e+00,2.631912465573453730e+01
8.063909774436091027e+00,2.630614995070709483e+01
8.076441102756891866e+00,2.629291016260161840e+01
8.088972431077694480e+00,2.627940748486975409e+01
8.101503759398497095e+00,2.626564410254903947e+01
8.114035087719297934e+00,2.625162219220208826e+01
8.126566416040100549e+00,2.623734392185805930e+01
8.139097744360903164e+00,2.622281145095608323e+01
8.151629072681704002e+00,2.620802693029018116e+01
8.164160401002506617e+00,2.619299250195638606e+01
8.176691729323307456e+00,2.617771029930128179e+01
8.189223057644110071e+00,2.616218244687259542e+01
8.201754385964912686e+00,2.614641106037150209e+01
8.214285714285713524e+00,2.613039824660634025e+01
8.226817042606516139e+00,2.611414610344847631e+01
8.239348370927318754e+00,2.609765671978945534e+01
8.251879699248119593e+00,2.608093217549985710e+01
8.264411027568922208e+00,2.606397454139000303e+01
8.276942355889724823e+00,2.604678587917194932e+01
8.289473684210525661e+00,2.602936824142308936e+01
8.302005012531328276e+00,2.601172367155153964e+01
8.314536340852130891e+00,2.599385420376271227e+01
8.327067669172931730e+00,2.597576186302753598e+01
8.339598997493734345e+00,2.595744866505216208e+01
8.352130325814536960e+00,2.593891661624910228e+01
8.364661654135337798e+00,2.592016771370956718e+01
8.377192982456140413e+00,2.590120394517760971e+01
8.389724310776943028e+00,2.588202728902536975e+01
8.402255639097743867e+00,2.586263971422949481e+01
8.414786967418546482e+00,2.584304318034939030e+01
8.427318295739349097e+00,2.582323963750636864e+01
8.439849624060149935e+00,2.580323102636416621e+01
8.452380952380952550e+00,2.578301927811078542e+01
8.464912280701753389e+00,2.576260631444157312e+01
8.477443609022556004e+00,2.574199404754358866e+01
8.489974937343358619e+00,2.572118438008078556e+01
8.502506265664159457e+00,2.570017920518110088e+01
