# Vendor emissivity measurement, hemispherical, 300 K sample
wavelength_um,emissivity
8.0000,0.5800
8.0606,0.5819
8.1212,0.5837
8.1818,0.5855
8.2424,0.5873
8.3030,0.5890
8.3636,0.5905
8.4242,0.5920
8.4848,0.5933
8.5455,0.5946
8.6061,0.5956
8.6667,0.5965
8.7273,0.5973
8.7879,0.5978
8.8485,0.5983
8.9091,0.5985
8.9697,0.5987
9.0303,0.5986
9.0909,0.5985
9.1515,0.5982
9.2121,0.5978
9.2727,0.5973
9.3333,0.5968
9.3939,0.5961
9.4545,0.5955
9.5152,0.5948
9.5758,0.5942
9.6364,0.5935
9.6970,0.5930
9.7576,0.5924
9.8182,0.5920
9.8788,0.5917
9.9394,0.5914
10.0000,0.5913
10.0606,0.5914
10.1212,0.5916
10.1818,0.5919
10.2424,0.5924
10.3030,0.5931
10.3636,0.5939
10.4242,0.5949
10.4848,0.5960
10.5455,0.5973
10.6061,0.5987
10.6667,0.6002
10.7273,0.6019
10.7879,0.6036
10.8485,0.6054
10.9091,0.6072
10.9697,0.6091
11.0303,0.6109
11.0909,0.6128
11.1515,0.6146
11.2121,0.6164
11.2727,0.6181
11.3333,0.6198
11.3939,0.6213
11.4545,0.6227
11.5152,0.6240
11.5758,0.6251
11.6364,0.6261
11.6970,0.6269
11.7576,0.6276
11.8182,0.6281
11.8788,0.6284
11.9394,0.6286
12.0000,0.6287
12.0606,0.6286
12.1212,0.6283
12.1818,0.6280
12.2424,0.6276
12.3030,0.6270
12.3636,0.6265
12.4242,0.6258
12.4848,0.6252
12.5455,0.6245
12.6061,0.6239
12.6667,0.6232
12.7273,0.6227
12.7879,0.6222
12.8485,0.6218
12.9091,0.6215
12.9697,0.6214
13.0303,0.6213
13.0909,0.6215
13.1515,0.6217
13.2121,0.6222
13.2727,0.6227
13.3333,0.6235
13.3939,0.6244
13.4545,0.6254
13.5152,0.6267
13.5758,0.6280
13.6364,0.6295
13.6970,0.6310
13.7576,0.6327
13.8182,0.6345
13.8788,0.6363
13.9394,0.6381
14.0000,0.6400
