# Vendor emissivity measurement, hemispherical, 300 K sample
wavelength_um,emissivity
8.0000,0.5511
8.0606,0.5513
8.1212,0.5516
8.1818,0.5519
8.2424,0.5522
8.3030,0.5526
8.3636,0.5531
8.4242,0.5537
8.4848,0.5544
8.5455,0.5552
8.6061,0.5562
8.6667,0.5574
8.7273,0.5587
8.7879,0.5603
8.8485,0.5622
8.9091,0.5644
8.9697,0.5670
9.0303,0.5700
9.0909,0.5736
9.1515,0.5777
9.2121,0.5824
9.2727,0.5878
9.3333,0.5941
9.3939,0.6011
9.4545,0.6091
9.5152,0.6181
9.5758,0.6280
9.6364,0.6389
9.6970,0.6507
9.7576,0.6634
9.8182,0.6768
9.8788,0.6909
9.9394,0.7053
10.0000,0.7200
10.0606,0.7347
10.1212,0.7491
10.1818,0.7632
10.2424,0.7766
10.3030,0.7893
10.3636,0.8011
10.4242,0.8120
10.4848,0.8219
10.5455,0.8309
10.6061,0.8389
10.6667,0.8459
10.7273,0.8522
10.7879,0.8576
10.8485,0.8623
10.9091,0.8664
10.9697,0.8700
11.0303,0.8730
11.0909,0.8756
11.1515,0.8778
11.2121,0.8797
11.2727,0.8813
11.3333,0.8826
11.3939,0.8838
11.4545,0.8848
11.5152,0.8856
11.5758,0.8863
11.6364,0.8869
11.6970,0.8874
11.7576,0.8878
11.8182,0.8881
11.8788,0.8884
11.9394,0.8887
12.0000,0.8889
12.0606,0.8891
12.1212,0.8892
12.1818,0.8893
12.2424,0.8894
12.3030,0.8895
12.3636,0.8896
12.4242,0.8897
12.4848,0.8897
12.5455,0.8898
12.6061,0.8898
12.6667,0.8898
12.7273,0.8899
12.7879,0.8899
12.8485,0.8899
12.9091,0.8899
12.9697,0.8899
13.0303,0.8899
13.0909,0.8900
13.1515,0.8900
13.2121,0.8900
13.2727,0.8900
13.3333,0.8900
13.3939,0.8900
13.4545,0.8900
13.5152,0.8900
13.5758,0.8900
13.6364,0.8900
13.6970,0.8900
13.7576,0.8900
13.8182,0.8900
13.8788,0.8900
13.9394,0.8900
14.0000,0.8900
