# 24-hour field-measured surface temperatures (thermal campaign)
# target = painted-metal vehicle; background = soil/vegetation
hour_local,T_target_K,T_background_K
0.0,284.99,289.05
0.5,284.443,288.447
1.0,284.111,287.938
1.5,284.0,287.533
2.0,284.111,287.239
2.5,284.443,287.06
3.0,284.99,287.0
3.5,285.742,287.06
4.0,286.686,287.239
4.5,287.808,287.533
5.0,289.086,287.938
5.5,290.5,288.447
6.0,292.025,289.05
6.5,293.635,289.739
7.0,295.303,290.5
7.5,297.0,291.321
8.0,298.697,292.188
8.5,300.365,293.086
9.0,301.975,294.0
9.5,303.5,294.914
10.0,304.914,295.812
10.5,306.192,296.679
11.0,307.314,297.5
11.5,308.258,298.261
12.0,309.01,298.95
12.5,309.557,299.553
13.0,309.889,300.062
13.5,310.0,300.467
14.0,309.889,300.761
14.5,309.557,300.94
15.0,309.01,301.0
15.5,308.258,300.94
16.0,307.314,300.761
16.5,306.192,300.467
17.0,304.914,300.062
17.5,303.5,299.553
18.0,301.975,298.95
18.5,300.365,298.261
19.0,298.697,297.5
19.5,297.0,296.679
20.0,295.303,295.812
20.5,293.635,294.914
21.0,292.025,294.0
21.5,290.5,293.086
22.0,289.086,292.188
22.5,287.808,291.321
23.0,286.686,290.5
23.5,285.742,289.739
24.0,284.99,289.05
