# Synthetic OLI-2 B04 interference filter T(lambda) [-] vs [um]:
# super-Gaussian (m=5), 50% points at published edges 0.636-0.673 um,
# peak 0.90, blocking floor 0.0001. Generator: scripts/gen_oli2_coatings.py.
0.400,0.000100
0.405,0.000100
0.410,0.000100
0.415,0.000100
0.420,0.000100
0.425,0.000100
0.430,0.000100
0.435,0.000100
0.440,0.000100
0.445,0.000100
0.450,0.000100
0.455,0.000100
0.460,0.000100
0.465,0.000100
0.470,0.000100
0.475,0.000100
0.480,0.000100
0.485,0.000100
0.490,0.000100
0.495,0.000100
0.500,0.000100
0.505,0.000100
0.510,0.000100
0.515,0.000100
0.520,0.000100
0.525,0.000100
0.530,0.000100
0.535,0.000100
0.540,0.000100
0.545,0.000100
0.550,0.000100
0.555,0.000100
0.560,0.000100
0.565,0.000100
0.570,0.000100
0.575,0.000100
0.580,0.000100
0.585,0.000100
0.590,0.000100
0.595,0.000100
0.600,0.000100
0.605,0.000100
0.610,0.000100
0.615,0.000100
0.620,0.000100
0.625,0.000100
0.630,0.000109
0.635,0.278445
0.640,0.847048
0.645,0.899205
0.650,0.900000
0.655,0.900000
0.660,0.899997
0.665,0.897839
0.670,0.799719
0.675,0.130087
0.680,0.000100
0.685,0.000100
0.690,0.000100
0.695,0.000100
0.700,0.000100
0.705,0.000100
0.710,0.000100
0.715,0.000100
0.720,0.000100
0.725,0.000100
0.730,0.000100
0.735,0.000100
0.740,0.000100
0.745,0.000100
0.750,0.000100
0.755,0.000100
0.760,0.000100
0.765,0.000100
0.770,0.000100
0.775,0.000100
0.780,0.000100
0.785,0.000100
0.790,0.000100
0.795,0.000100
0.800,0.000100
0.805,0.000100
0.810,0.000100
0.815,0.000100
0.820,0.000100
0.825,0.000100
0.830,0.000100
0.835,0.000100
0.840,0.000100
0.845,0.000100
0.850,0.000100
0.855,0.000100
0.860,0.000100
0.865,0.000100
0.870,0.000100
0.875,0.000100
0.880,0.000100
0.885,0.000100
0.890,0.000100
0.895,0.000100
0.900,0.000100
0.905,0.000100
0.910,0.000100
0.915,0.000100
0.920,0.000100
0.925,0.000100
0.930,0.000100
0.935,0.000100
0.940,0.000100
0.945,0.000100
0.950,0.000100
0.955,0.000100
0.960,0.000100
0.965,0.000100
0.970,0.000100
0.975,0.000100
0.980,0.000100
0.985,0.000100
0.990,0.000100
0.995,0.000100
1.000,0.000100
1.005,0.000100
1.010,0.000100
1.015,0.000100
1.020,0.000100
1.025,0.000100
1.030,0.000100
1.035,0.000100
1.040,0.000100
1.045,0.000100
1.050,0.000100
1.055,0.000100
1.060,0.000100
1.065,0.000100
1.070,0.000100
1.075,0.000100
1.080,0.000100
1.085,0.000100
1.090,0.000100
1.095,0.000100
1.100,0.000100
1.105,0.000100
1.110,0.000100
1.115,0.000100
1.120,0.000100
1.125,0.000100
1.130,0.000100
1.135,0.000100
1.140,0.000100
1.145,0.000100
1.150,0.000100
1.155,0.000100
1.160,0.000100
1.165,0.000100
1.170,0.000100
1.175,0.000100
1.180,0.000100
1.185,0.000100
1.190,0.000100
1.195,0.000100
1.200,0.000100
1.205,0.000100
1.210,0.000100
1.215,0.000100
1.220,0.000100
1.225,0.000100
1.230,0.000100
1.235,0.000100
1.240,0.000100
1.245,0.000100
1.250,0.000100
1.255,0.000100
1.260,0.000100
1.265,0.000100
1.270,0.000100
1.275,0.000100
1.280,0.000100
1.285,0.000100
1.290,0.000100
1.295,0.000100
1.300,0.000100
1.305,0.000100
1.310,0.000100
1.315,0.000100
1.320,0.000100
1.325,0.000100
1.330,0.000100
1.335,0.000100
1.340,0.000100
1.345,0.000100
1.350,0.000100
1.355,0.000100
1.360,0.000100
1.365,0.000100
1.370,0.000100
1.375,0.000100
1.380,0.000100
1.385,0.000100
1.390,0.000100
1.395,0.000100
1.400,0.000100
1.405,0.000100
1.410,0.000100
1.415,0.000100
1.420,0.000100
1.425,0.000100
1.430,0.000100
1.435,0.000100
1.440,0.000100
1.445,0.000100
1.450,0.000100
1.455,0.000100
1.460,0.000100
1.465,0.000100
1.470,0.000100
1.475,0.000100
1.480,0.000100
1.485,0.000100
1.490,0.000100
1.495,0.000100
1.500,0.000100
1.505,0.000100
1.510,0.000100
1.515,0.000100
1.520,0.000100
1.525,0.000100
1.530,0.000100
1.535,0.000100
1.540,0.000100
1.545,0.000100
1.550,0.000100
1.555,0.000100
1.560,0.000100
1.565,0.000100
1.570,0.000100
1.575,0.000100
1.580,0.000100
1.585,0.000100
1.590,0.000100
1.595,0.000100
1.600,0.000100
1.605,0.000100
1.610,0.000100
1.615,0.000100
1.620,0.000100
1.625,0.000100
1.630,0.000100
1.635,0.000100
1.640,0.000100
1.645,0.000100
1.650,0.000100
1.655,0.000100
1.660,0.000100
1.665,0.000100
1.670,0.000100
1.675,0.000100
