# Synthetic FPA window transmittance T(lambda) [-] vs wavelength [um]: fused silica,
# broadband AR both faces, flat 0.985. Generator: scripts/gen_oli2_coatings.py.
0.400,0.985000
0.405,0.985000
0.410,0.985000
0.415,0.985000
0.420,0.985000
0.425,0.985000
0.430,0.985000
0.435,0.985000
0.440,0.985000
0.445,0.985000
0.450,0.985000
0.455,0.985000
0.460,0.985000
0.465,0.985000
0.470,0.985000
0.475,0.985000
0.480,0.985000
0.485,0.985000
0.490,0.985000
0.495,0.985000
0.500,0.985000
0.505,0.985000
0.510,0.985000
0.515,0.985000
0.520,0.985000
0.525,0.985000
0.530,0.985000
0.535,0.985000
0.540,0.985000
0.545,0.985000
0.550,0.985000
0.555,0.985000
0.560,0.985000
0.565,0.985000
0.570,0.985000
0.575,0.985000
0.580,0.985000
0.585,0.985000
0.590,0.985000
0.595,0.985000
0.600,0.985000
0.605,0.985000
0.610,0.985000
0.615,0.985000
0.620,0.985000
0.625,0.985000
0.630,0.985000
0.635,0.985000
0.640,0.985000
0.645,0.985000
0.650,0.985000
0.655,0.985000
0.660,0.985000
0.665,0.985000
0.670,0.985000
0.675,0.985000
0.680,0.985000
0.685,0.985000
0.690,0.985000
0.695,0.985000
0.700,0.985000
0.705,0.985000
0.710,0.985000
0.715,0.985000
0.720,0.985000
0.725,0.985000
0.730,0.985000
0.735,0.985000
0.740,0.985000
0.745,0.985000
0.750,0.985000
0.755,0.985000
0.760,0.985000
0.765,0.985000
0.770,0.985000
0.775,0.985000
0.780,0.985000
0.785,0.985000
0.790,0.985000
0.795,0.985000
0.800,0.985000
0.805,0.985000
0.810,0.985000
0.815,0.985000
0.820,0.985000
0.825,0.985000
0.830,0.985000
0.835,0.985000
0.840,0.985000
0.845,0.985000
0.850,0.985000
0.855,0.985000
0.860,0.985000
0.865,0.985000
0.870,0.985000
0.875,0.985000
0.880,0.985000
0.885,0.985000
0.890,0.985000
0.895,0.985000
0.900,0.985000
0.905,0.985000
0.910,0.985000
0.915,0.985000
0.920,0.985000
0.925,0.985000
0.930,0.985000
0.935,0.985000
0.940,0.985000
0.945,0.985000
0.950,0.985000
0.955,0.985000
0.960,0.985000
0.965,0.985000
0.970,0.985000
0.975,0.985000
0.980,0.985000
0.985,0.985000
0.990,0.985000
0.995,0.985000
1.000,0.985000
1.005,0.985000
1.010,0.985000
1.015,0.985000
1.020,0.985000
1.025,0.985000
1.030,0.985000
1.035,0.985000
1.040,0.985000
1.045,0.985000
1.050,0.985000
1.055,0.985000
1.060,0.985000
1.065,0.985000
1.070,0.985000
1.075,0.985000
1.080,0.985000
1.085,0.985000
1.090,0.985000
1.095,0.985000
1.100,0.985000
1.105,0.985000
1.110,0.985000
1.115,0.985000
1.120,0.985000
1.125,0.985000
1.130,0.985000
1.135,0.985000
1.140,0.985000
1.145,0.985000
1.150,0.985000
1.155,0.985000
1.160,0.985000
1.165,0.985000
1.170,0.985000
1.175,0.985000
1.180,0.985000
1.185,0.985000
1.190,0.985000
1.195,0.985000
1.200,0.985000
1.205,0.985000
1.210,0.985000
1.215,0.985000
1.220,0.985000
1.225,0.985000
1.230,0.985000
1.235,0.985000
1.240,0.985000
1.245,0.985000
1.250,0.985000
1.255,0.985000
1.260,0.985000
1.265,0.985000
1.270,0.985000
1.275,0.985000
1.280,0.985000
1.285,0.985000
1.290,0.985000
1.295,0.985000
1.300,0.985000
1.305,0.985000
1.310,0.985000
1.315,0.985000
1.320,0.985000
1.325,0.985000
1.330,0.985000
1.335,0.985000
1.340,0.985000
1.345,0.985000
1.350,0.985000
1.355,0.985000
1.360,0.985000
1.365,0.985000
1.370,0.985000
1.375,0.985000
1.380,0.985000
1.385,0.985000
1.390,0.985000
1.395,0.985000
1.400,0.985000
1.405,0.985000
1.410,0.985000
1.415,0.985000
1.420,0.985000
1.425,0.985000
1.430,0.985000
1.435,0.985000
1.440,0.985000
1.445,0.985000
1.450,0.985000
1.455,0.985000
1.460,0.985000
1.465,0.985000
1.470,0.985000
1.475,0.985000
1.480,0.985000
1.485,0.985000
1.490,0.985000
1.495,0.985000
1.500,0.985000
1.505,0.985000
1.510,0.985000
1.515,0.985000
1.520,0.985000
1.525,0.985000
1.530,0.985000
1.535,0.985000
1.540,0.985000
1.545,0.985000
1.550,0.985000
1.555,0.985000
1.560,0.985000
1.565,0.985000
1.570,0.985000
1.575,0.985000
1.580,0.985000
1.585,0.985000
1.590,0.985000
1.595,0.985000
1.600,0.985000
1.605,0.985000
1.610,0.985000
1.615,0.985000
1.620,0.985000
1.625,0.985000
1.630,0.985000
1.635,0.985000
1.640,0.985000
1.645,0.985000
1.650,0.985000
1.655,0.985000
1.660,0.985000
1.665,0.985000
1.670,0.985000
1.675,0.985000
1.680,0.985000
1.685,0.985000
1.690,0.985000
1.695,0.985000
1.700,0.985000
1.705,0.985000
1.710,0.985000
1.715,0.985000
1.720,0.985000
1.725,0.985000
1.730,0.985000
1.735,0.985000
1.740,0.985000
1.745,0.985000
1.750,0.985000
1.755,0.985000
1.760,0.985000
1.765,0.985000
1.770,0.985000
1.775,0.985000
1.780,0.985000
1.785,0.985000
1.790,0.985000
1.795,0.985000
1.800,0.985000
1.805,0.985000
1.810,0.985000
1.815,0.985000
1.820,0.985000
1.825,0.985000
1.830,0.985000
1.835,0.985000
1.840,0.985000
1.845,0.985000
1.850,0.985000
1.855,0.985000
1.860,0.985000
1.865,0.985000
1.870,0.985000
1.875,0.985000
1.880,0.985000
1.885,0.985000
1.890,0.985000
1.895,0.985000
1.900,0.985000
1.905,0.985000
1.910,0.985000
1.915,0.985000
1.920,0.985000
1.925,0.985000
1.930,0.985000
1.935,0.985000
1.940,0.985000
1.945,0.985000
1.950,0.985000
1.955,0.985000
1.960,0.985000
1.965,0.985000
1.970,0.985000
1.975,0.985000
1.980,0.985000
1.985,0.985000
1.990,0.985000
1.995,0.985000
2.000,0.985000
2.005,0.985000
2.010,0.985000
2.015,0.985000
2.020,0.985000
2.025,0.985000
2.030,0.985000
2.035,0.985000
2.040,0.985000
2.045,0.985000
2.050,0.985000
2.055,0.985000
2.060,0.985000
2.065,0.985000
2.070,0.985000
2.075,0.985000
2.080,0.985000
2.085,0.985000
2.090,0.985000
2.095,0.985000
2.100,0.985000
2.105,0.985000
2.110,0.985000
2.115,0.985000
2.120,0.985000
2.125,0.985000
2.130,0.985000
2.135,0.985000
2.140,0.985000
2.145,0.985000
2.150,0.985000
2.155,0.985000
2.160,0.985000
2.165,0.985000
2.170,0.985000
2.175,0.985000
2.180,0.985000
2.185,0.985000
2.190,0.985000
2.195,0.985000
2.200,0.985000
2.205,0.985000
2.210,0.985000
2.215,0.985000
2.220,0.985000
2.225,0.985000
2.230,0.985000
2.235,0.985000
2.240,0.985000
2.245,0.985000
2.250,0.985000
2.255,0.985000
2.260,0.985000
2.265,0.985000
2.270,0.985000
2.275,0.985000
2.280,0.985000
2.285,0.985000
2.290,0.985000
2.295,0.985000
2.300,0.985000
2.305,0.985000
2.310,0.985000
2.315,0.985000
2.320,0.985000
2.325,0.985000
2.330,0.985000
2.335,0.985000
2.340,0.985000
2.345,0.985000
2.350,0.985000
2.355,0.985000
2.360,0.985000
2.365,0.985000
2.370,0.985000
2.375,0.985000
2.380,0.985000
2.385,0.985000
2.390,0.985000
2.395,0.985000
2.400,0.985000
2.405,0.985000
2.410,0.985000
2.415,0.985000
2.420,0.985000
2.425,0.985000
2.430,0.985000
2.435,0.985000
2.440,0.985000
2.445,0.985000
2.450,0.985000
2.455,0.985000
2.460,0.985000
2.465,0.985000
2.470,0.985000
2.475,0.985000
2.480,0.985000
2.485,0.985000
2.490,0.985000
2.495,0.985000
2.500,0.985000
