# Synthetic protected-silver mirror reflectance R(lambda) [-] vs wavelength [um].
# Generator: scripts/gen_oli2_coatings.py (piecewise-linear through vendor-typical
# anchors; assumption class, envelope +/-0.01 per surface). Used for OLI-2 M1-M4.
0.400,0.935000
0.405,0.937500
0.410,0.940000
0.415,0.942500
0.420,0.945000
0.425,0.946667
0.430,0.948333
0.435,0.950000
0.440,0.951667
0.445,0.953333
0.450,0.955000
0.455,0.956000
0.460,0.957000
0.465,0.958000
0.470,0.959000
0.475,0.960000
0.480,0.961000
0.485,0.962000
0.490,0.963000
0.495,0.964000
0.500,0.965000
0.505,0.965500
0.510,0.966000
0.515,0.966500
0.520,0.967000
0.525,0.967500
0.530,0.968000
0.535,0.968500
0.540,0.969000
0.545,0.969500
0.550,0.970000
0.555,0.970500
0.560,0.971000
0.565,0.971500
0.570,0.972000
0.575,0.972500
0.580,0.973000
0.585,0.973500
0.590,0.974000
0.595,0.974500
0.600,0.975000
0.605,0.975125
0.610,0.975250
0.615,0.975375
0.620,0.975500
0.625,0.975625
0.630,0.975750
0.635,0.975875
0.640,0.976000
0.645,0.976125
0.650,0.976250
0.655,0.976375
0.660,0.976500
0.665,0.976625
0.670,0.976750
0.675,0.976875
0.680,0.977000
0.685,0.977125
0.690,0.977250
0.695,0.977375
0.700,0.977500
0.705,0.977625
0.710,0.977750
0.715,0.977875
0.720,0.978000
0.725,0.978125
0.730,0.978250
0.735,0.978375
0.740,0.978500
0.745,0.978625
0.750,0.978750
0.755,0.978875
0.760,0.979000
0.765,0.979125
0.770,0.979250
0.775,0.979375
0.780,0.979500
0.785,0.979625
0.790,0.979750
0.795,0.979875
0.800,0.980000
0.805,0.980050
0.810,0.980100
0.815,0.980150
0.820,0.980200
0.825,0.980250
0.830,0.980300
0.835,0.980350
0.840,0.980400
0.845,0.980450
0.850,0.980500
0.855,0.980550
0.860,0.980600
0.865,0.980650
0.870,0.980700
0.875,0.980750
0.880,0.980800
0.885,0.980850
0.890,0.980900
0.895,0.980950
0.900,0.981000
0.905,0.981050
0.910,0.981100
0.915,0.981150
0.920,0.981200
0.925,0.981250
0.930,0.981300
0.935,0.981350
0.940,0.981400
0.945,0.981450
0.950,0.981500
0.955,0.981550
0.960,0.981600
0.965,0.981650
0.970,0.981700
0.975,0.981750
0.980,0.981800
0.985,0.981850
0.990,0.981900
0.995,0.981950
1.000,0.982000
1.005,0.982033
1.010,0.982067
1.015,0.982100
1.020,0.982133
1.025,0.982167
1.030,0.982200
1.035,0.982233
1.040,0.982267
1.045,0.982300
1.050,0.982333
1.055,0.982367
1.060,0.982400
1.065,0.982433
1.070,0.982467
1.075,0.982500
1.080,0.982533
1.085,0.982567
1.090,0.982600
1.095,0.982633
1.100,0.982667
1.105,0.982700
1.110,0.982733
1.115,0.982767
1.120,0.982800
1.125,0.982833
1.130,0.982867
1.135,0.982900
1.140,0.982933
1.145,0.982967
1.150,0.983000
1.155,0.983033
1.160,0.983067
1.165,0.983100
1.170,0.983133
1.175,0.983167
1.180,0.983200
1.185,0.983233
1.190,0.983267
1.195,0.983300
1.200,0.983333
1.205,0.983367
1.210,0.983400
1.215,0.983433
1.220,0.983467
1.225,0.983500
1.230,0.983533
1.235,0.983567
1.240,0.983600
1.245,0.983633
1.250,0.983667
1.255,0.983700
1.260,0.983733
1.265,0.983767
1.270,0.983800
1.275,0.983833
1.280,0.983867
1.285,0.983900
1.290,0.983933
1.295,0.983967
1.300,0.984000
1.305,0.984017
1.310,0.984033
1.315,0.984050
1.320,0.984067
1.325,0.984083
1.330,0.984100
1.335,0.984117
1.340,0.984133
1.345,0.984150
1.350,0.984167
1.355,0.984183
1.360,0.984200
1.365,0.984217
1.370,0.984233
1.375,0.984250
1.380,0.984267
1.385,0.984283
1.390,0.984300
1.395,0.984317
1.400,0.984333
1.405,0.984350
1.410,0.984367
1.415,0.984383
1.420,0.984400
1.425,0.984417
1.430,0.984433
1.435,0.984450
1.440,0.984467
1.445,0.984483
1.450,0.984500
1.455,0.984517
1.460,0.984533
1.465,0.984550
1.470,0.984567
1.475,0.984583
1.480,0.984600
1.485,0.984617
1.490,0.984633
1.495,0.984650
1.500,0.984667
1.505,0.984683
1.510,0.984700
1.515,0.984717
1.520,0.984733
1.525,0.984750
1.530,0.984767
1.535,0.984783
1.540,0.984800
1.545,0.984817
1.550,0.984833
1.555,0.984850
1.560,0.984867
1.565,0.984883
1.570,0.984900
1.575,0.984917
1.580,0.984933
1.585,0.984950
1.590,0.984967
1.595,0.984983
1.600,0.985000
1.605,0.985012
1.610,0.985025
1.615,0.985038
1.620,0.985050
1.625,0.985062
1.630,0.985075
1.635,0.985088
1.640,0.985100
1.645,0.985112
1.650,0.985125
1.655,0.985137
1.660,0.985150
1.665,0.985162
1.670,0.985175
1.675,0.985187
1.680,0.985200
1.685,0.985212
1.690,0.985225
1.695,0.985237
1.700,0.985250
1.705,0.985263
1.710,0.985275
1.715,0.985287
1.720,0.985300
1.725,0.985313
1.730,0.985325
1.735,0.985337
1.740,0.985350
1.745,0.985363
1.750,0.985375
1.755,0.985387
1.760,0.985400
1.765,0.985413
1.770,0.985425
1.775,0.985437
1.780,0.985450
1.785,0.985463
1.790,0.985475
1.795,0.985487
1.800,0.985500
1.805,0.985513
1.810,0.985525
1.815,0.985537
1.820,0.985550
1.825,0.985563
1.830,0.985575
1.835,0.985587
1.840,0.985600
1.845,0.985613
1.850,0.985625
1.855,0.985637
1.860,0.985650
1.865,0.985662
1.870,0.985675
1.875,0.985687
1.880,0.985700
1.885,0.985712
1.890,0.985725
1.895,0.985737
1.900,0.985750
1.905,0.985762
1.910,0.985775
1.915,0.985788
1.920,0.985800
1.925,0.985812
1.930,0.985825
1.935,0.985838
1.940,0.985850
1.945,0.985862
1.950,0.985875
1.955,0.985888
1.960,0.985900
1.965,0.985912
1.970,0.985925
1.975,0.985938
1.980,0.985950
1.985,0.985962
1.990,0.985975
1.995,0.985988
2.000,0.986000
2.005,0.986000
2.010,0.986000
2.015,0.986000
2.020,0.986000
2.025,0.986000
2.030,0.986000
2.035,0.986000
2.040,0.986000
2.045,0.986000
2.050,0.986000
2.055,0.986000
2.060,0.986000
2.065,0.986000
2.070,0.986000
2.075,0.986000
2.080,0.986000
2.085,0.986000
2.090,0.986000
2.095,0.986000
2.100,0.986000
2.105,0.986000
2.110,0.986000
2.115,0.986000
2.120,0.986000
2.125,0.986000
2.130,0.986000
2.135,0.986000
2.140,0.986000
2.145,0.986000
2.150,0.986000
2.155,0.986000
2.160,0.986000
2.165,0.986000
2.170,0.986000
2.175,0.986000
2.180,0.986000
2.185,0.986000
2.190,0.986000
2.195,0.986000
2.200,0.986000
2.205,0.986000
2.210,0.986000
2.215,0.986000
2.220,0.986000
2.225,0.986000
2.230,0.986000
2.235,0.986000
2.240,0.986000
2.245,0.986000
2.250,0.986000
2.255,0.986000
2.260,0.986000
2.265,0.986000
2.270,0.986000
2.275,0.986000
2.280,0.986000
2.285,0.986000
2.290,0.986000
2.295,0.986000
2.300,0.986000
2.305,0.986000
2.310,0.986000
2.315,0.986000
2.320,0.986000
2.325,0.986000
2.330,0.986000
2.335,0.986000
2.340,0.986000
2.345,0.986000
2.350,0.986000
2.355,0.986000
2.360,0.986000
2.365,0.986000
2.370,0.986000
2.375,0.986000
2.380,0.986000
2.385,0.986000
2.390,0.986000
2.395,0.986000
2.400,0.986000
2.405,0.986000
2.410,0.986000
2.415,0.986000
2.420,0.986000
2.425,0.986000
2.430,0.986000
2.435,0.986000
2.440,0.986000
2.445,0.986000
2.450,0.986000
2.455,0.986000
2.460,0.986000
2.465,0.986000
2.470,0.986000
2.475,0.986000
2.480,0.986000
2.485,0.986000
2.490,0.986000
2.495,0.986000
2.500,0.986000
