# ORB-4471 optical signature — diffuse-sphere model
# albedo = 0.250 [dimensionless]
# projected_area = 1.000 [m^2]
# solar_phase_angle = 35.0 [deg]
# phase_function p(alpha) = 0.842448 [dimensionless]
# columns: wavelength [nm], spectral radiant intensity [W/sr/nm]
wavelength_nm,intensity_W_per_sr_per_nm
380.0,9.73577933e-02
385.0,9.93115214e-02
390.0,1.01169696e-01
395.0,1.02931877e-01
400.0,1.04597974e-01
405.0,1.06168215e-01
410.0,1.07643124e-01
415.0,1.09023488e-01
420.0,1.10310339e-01
425.0,1.11504923e-01
430.0,1.12608680e-01
435.0,1.13623224e-01
440.0,1.14550316e-01
445.0,1.15391850e-01
450.0,1.16149834e-01
455.0,1.16826369e-01
460.0,1.17423639e-01
465.0,1.17943892e-01
470.0,1.18389427e-01
475.0,1.18762583e-01
480.0,1.19065726e-01
485.0,1.19301241e-01
490.0,1.19471520e-01
495.0,1.19578954e-01
500.0,1.19625925e-01
505.0,1.19614801e-01
510.0,1.19547927e-01
515.0,1.19427621e-01
520.0,1.19256171e-01
525.0,1.19035824e-01
530.0,1.18768792e-01
535.0,1.18457241e-01
540.0,1.18103292e-01
545.0,1.17709015e-01
550.0,1.17276433e-01
555.0,1.16807517e-01
560.0,1.16304182e-01
565.0,1.15768292e-01
570.0,1.15201656e-01
575.0,1.14606026e-01
580.0,1.13983102e-01
585.0,1.13334526e-01
590.0,1.12661887e-01
595.0,1.11966719e-01
600.0,1.11250502e-01
605.0,1.10514663e-01
610.0,1.09760575e-01
615.0,1.08989561e-01
620.0,1.08202893e-01
625.0,1.07401792e-01
630.0,1.06587430e-01
635.0,1.05760933e-01
640.0,1.04923380e-01
645.0,1.04075804e-01
650.0,1.03219193e-01
655.0,1.02354494e-01
660.0,1.01482611e-01
665.0,1.00604407e-01
670.0,9.97207075e-02
675.0,9.88322981e-02
680.0,9.79399282e-02
685.0,9.70443117e-02
690.0,9.61461280e-02
695.0,9.52460229e-02
700.0,9.43446104e-02
705.0,9.34424735e-02
710.0,9.25401652e-02
715.0,9.16382098e-02
720.0,9.07371040e-02
725.0,8.98373178e-02
730.0,8.89392957e-02
735.0,8.80434574e-02
740.0,8.71501992e-02
745.0,8.62598945e-02
750.0,8.53728952e-02
755.0,8.44895321e-02
760.0,8.36101161e-02
765.0,8.27349388e-02
770.0,8.18642738e-02
775.0,8.09983767e-02
780.0,8.01374865e-02
785.0,7.92818261e-02
790.0,7.84316032e-02
795.0,7.75870104e-02
800.0,7.67482267e-02
805.0,7.59154176e-02
810.0,7.50887356e-02
815.0,7.42683212e-02
820.0,7.34543034e-02
825.0,7.26467999e-02
830.0,7.18459180e-02
835.0,7.10517548e-02
840.0,7.02643982e-02
845.0,6.94839265e-02
850.0,6.87104099e-02
855.0,6.79439099e-02
860.0,6.71844806e-02
865.0,6.64321684e-02
870.0,6.56870128e-02
875.0,6.49490468e-02
880.0,6.42182968e-02
885.0,6.34947834e-02
890.0,6.27785215e-02
895.0,6.20695206e-02
900.0,6.13677853e-02
905.0,6.06733152e-02
910.0,5.99861056e-02
915.0,5.93061475e-02
920.0,5.86334277e-02
925.0,5.79679294e-02
930.0,5.73096322e-02
935.0,5.66585125e-02
940.0,5.60145433e-02
945.0,5.53776949e-02
950.0,5.47479346e-02
