wavelength_um,intensity_W_per_sr_per_um
0.380000,9.7357793300e+01
0.385000,9.9311521400e+01
0.390000,1.0116969600e+02
0.395000,1.0293187700e+02
0.400000,1.0459797400e+02
0.405000,1.0616821500e+02
0.410000,1.0764312400e+02
0.415000,1.0902348800e+02
0.420000,1.1031033900e+02
0.425000,1.1150492300e+02
0.430000,1.1260868000e+02
0.435000,1.1362322400e+02
0.440000,1.1455031600e+02
0.445000,1.1539185000e+02
0.450000,1.1614983400e+02
0.455000,1.1682636900e+02
0.460000,1.1742363900e+02
0.465000,1.1794389200e+02
0.470000,1.1838942700e+02
0.475000,1.1876258300e+02
0.480000,1.1906572600e+02
0.485000,1.1930124100e+02
0.490000,1.1947152000e+02
0.495000,1.1957895400e+02
0.500000,1.1962592500e+02
0.505000,1.1961480100e+02
0.510000,1.1954792700e+02
0.515000,1.1942762100e+02
0.520000,1.1925617100e+02
0.525000,1.1903582400e+02
0.530000,1.1876879200e+02
0.535000,1.1845724100e+02
0.540000,1.1810329200e+02
0.545000,1.1770901500e+02
0.550000,1.1727643300e+02
0.555000,1.1680751700e+02
0.560000,1.1630418200e+02
0.565000,1.1576829200e+02
0.570000,1.1520165600e+02
0.575000,1.1460602600e+02
0.580000,1.1398310200e+02
0.585000,1.1333452600e+02
0.590000,1.1266188700e+02
0.595000,1.1196671900e+02
0.600000,1.1125050200e+02
0.605000,1.1051466300e+02
0.610000,1.0976057500e+02
0.615000,1.0898956100e+02
0.620000,1.0820289300e+02
0.625000,1.0740179200e+02
0.630000,1.0658743000e+02
0.635000,1.0576093300e+02
0.640000,1.0492338000e+02
0.645000,1.0407580400e+02
0.650000,1.0321919300e+02
0.655000,1.0235449400e+02
0.660000,1.0148261100e+02
0.665000,1.0060440700e+02
0.670000,9.9720707500e+01
0.675000,9.8832298100e+01
0.680000,9.7939928200e+01
0.685000,9.7044311700e+01
0.690000,9.6146128000e+01
0.695000,9.5246022900e+01
0.700000,9.4344610400e+01
0.705000,9.3442473500e+01
0.710000,9.2540165200e+01
0.715000,9.1638209800e+01
0.720000,9.0737104000e+01
0.725000,8.9837317800e+01
0.730000,8.8939295700e+01
0.735000,8.8043457400e+01
0.740000,8.7150199200e+01
0.745000,8.6259894500e+01
0.750000,8.5372895200e+01
0.755000,8.4489532100e+01
0.760000,8.3610116100e+01
0.765000,8.2734938800e+01
0.770000,8.1864273800e+01
0.775000,8.0998376700e+01
0.780000,8.0137486500e+01
0.785000,7.9281826100e+01
0.790000,7.8431603200e+01
0.795000,7.7587010400e+01
0.800000,7.6748226700e+01
0.805000,7.5915417600e+01
0.810000,7.5088735600e+01
0.815000,7.4268321200e+01
0.820000,7.3454303400e+01
0.825000,7.2646799900e+01
0.830000,7.1845918000e+01
0.835000,7.1051754800e+01
0.840000,7.0264398200e+01
0.845000,6.9483926500e+01
0.850000,6.8710409900e+01
0.855000,6.7943909900e+01
0.860000,6.7184480600e+01
0.865000,6.6432168400e+01
0.870000,6.5687012800e+01
0.875000,6.4949046800e+01
0.880000,6.4218296800e+01
0.885000,6.3494783400e+01
0.890000,6.2778521500e+01
0.895000,6.2069520600e+01
0.900000,6.1367785300e+01
0.905000,6.0673315200e+01
0.910000,5.9986105600e+01
0.915000,5.9306147500e+01
0.920000,5.8633427700e+01
0.925000,5.7967929400e+01
0.930000,5.7309632200e+01
0.935000,5.6658512500e+01
0.940000,5.6014543300e+01
0.945000,5.5377694900e+01
0.950000,5.4747934600e+01
