wavelength_um,qe
3,0
3.2037,0
3.40741,0
3.61111,0
3.81481,0
4.01852,0.00555556
4.22222,0.0666667
4.42593,0.127778
4.62963,0.188889
4.83333,0.25
5.03704,0.311111
5.24074,0.372222
5.44444,0.433333
5.64815,0.494444
5.85185,0.555556
6.05556,0.621309
6.25926,0.626067
6.46296,0.63067
6.66667,0.635
6.87037,0.638947
7.07407,0.642411
7.27778,0.645302
7.48148,0.647546
7.68519,0.649088
7.88889,0.649886
8.09259,0.649921
8.2963,0.649191
8.5,0.647716
8.7037,0.645534
8.90741,0.642698
9.11111,0.639284
9.31481,0.635376
9.51852,0.631076
9.72222,0.626493
9.92593,0.621744
10.1296,0.579815
10.3333,0.516667
10.537,0.453519
10.7407,0.39037
10.9444,0.327222
11.1481,0.264074
11.3519,0.200926
11.5556,0.137778
11.7593,0.0746296
11.963,0.0114815
12.1667,0.00606531
12.3704,0.00329193
12.5741,0.00178669
12.7778,0.00096972
12.9815,0.000526313
13.1852,0.000285655
13.3889,0.000155039
13.5926,8.41468e-05
13.7963,4.56705e-05
14,2.47875e-05
