wavelength_um,qe
1,0
1.10204,0
1.20408,0
1.30612,0
1.40816,0
1.5102,0.00714286
1.61224,0.0785714
1.71429,0.15
1.81633,0.221429
1.91837,0.292857
2.02041,0.364286
2.12245,0.435714
2.22449,0.507143
2.32653,0.578571
2.42857,0.65
2.53061,0.721442
2.63265,0.726206
2.73469,0.730811
2.83673,0.735139
2.93878,0.739078
3.04082,0.742529
3.14286,0.745402
3.2449,0.747623
3.34694,0.749137
3.44898,0.749904
3.55102,0.749904
3.65306,0.749137
3.7551,0.747623
3.85714,0.745402
3.95918,0.742529
4.06122,0.739078
4.16327,0.735139
4.26531,0.730811
4.36735,0.726206
4.46939,0.721442
4.57143,0.655714
4.67347,0.563878
4.77551,0.472041
4.87755,0.380204
4.97959,0.288367
5.08163,0.196531
5.18367,0.104694
5.28571,0.0128571
5.38776,0.00644826
5.4898,0.00387136
5.59184,0.00232426
5.69388,0.00139542
5.79592,0.000837774
5.89796,0.000502977
6,0.000301974
