wavelength_um,qe
0.3,0.3
0.310119,0.350595
0.320238,0.40119
0.330357,0.451786
0.340476,0.502381
0.350595,0.552976
0.360714,0.603571
0.370833,0.654167
0.380952,0.704762
0.391071,0.755357
0.40119,0.780794
0.41131,0.78754
0.421429,0.794286
0.431548,0.801032
0.441667,0.807778
0.451786,0.814524
0.461905,0.82127
0.472024,0.828016
0.482143,0.834762
0.492262,0.841508
0.502381,0.848254
0.5125,0.855
0.522619,0.861746
0.532738,0.868492
0.542857,0.875238
0.552976,0.879643
0.563095,0.878429
0.573214,0.877214
0.583333,0.876
0.593452,0.874786
0.603571,0.873571
0.61369,0.872357
0.62381,0.871143
0.633929,0.869929
0.644048,0.868714
0.654167,0.8675
0.664286,0.866286
0.674405,0.865071
0.684524,0.863857
0.694643,0.862643
0.704762,0.861429
0.714881,0.860214
0.725,0.859
0.735119,0.857786
0.745238,0.856571
0.755357,0.855357
0.765476,0.854143
0.775595,0.852929
0.785714,0.851714
0.795833,0.8505
0.805952,0.830952
0.816071,0.798571
0.82619,0.76619
0.83631,0.73381
0.846429,0.701429
0.856548,0.669048
0.866667,0.636667
0.876786,0.604286
0.886905,0.571905
0.897024,0.539524
0.907143,0.507143
0.917262,0.474762
0.927381,0.442381
0.9375,0.41
0.947619,0.377619
0.957738,0.345238
0.967857,0.312857
0.977976,0.280476
0.988095,0.248095
0.998214,0.215714
1.00833,0.183333
1.01845,0.150952
1.02857,0.118571
1.03869,0.0861905
1.04881,0.0538095
1.05893,0.0457292
1.06905,0.0413283
1.07917,0.0373509
1.08929,0.0337563
1.0994,0.0305076
1.10952,0.0275716
1.11964,0.0249181
1.12976,0.02252
1.13988,0.0203527
1.15,0.018394
