wavelength_um,emissivity
0.3,0.12
0.32,0.117333
0.34,0.114667
0.36,0.112
0.38,0.109333
0.4,0.106667
0.42,0.104
0.44,0.101333
0.46,0.0986667
0.48,0.096
0.5,0.0933333
0.52,0.0906667
0.54,0.088
0.56,0.0853333
0.58,0.0826667
0.6,0.05
0.62,0.0497143
0.64,0.0494286
0.66,0.0491429
0.68,0.0488571
0.7,0.0485714
0.72,0.0482857
0.74,0.048
0.76,0.0477143
0.78,0.0474286
0.8,0.0471429
0.82,0.0468571
0.84,0.0465714
0.86,0.0462857
0.88,0.046
0.9,0.0457143
0.92,0.0454286
0.94,0.0451429
0.96,0.0448571
0.98,0.0445714
1,0.0442857
1.05,0.0435714
1.15357,0.0420918
1.25714,0.0406122
1.36071,0.0391327
1.46429,0.0376531
1.56786,0.0361735
1.67143,0.0346939
1.775,0.0332143
1.87857,0.0317347
1.98214,0.0302551
2.08571,0.03
2.18929,0.03
2.29286,0.03
2.39643,0.03
2.5,0.03
2.6,0.03
2.80714,0.03
3.01429,0.03
3.22143,0.03
3.42857,0.03
3.63571,0.03
3.84286,0.03
4.05,0.03
4.25714,0.03
4.46429,0.03
4.67143,0.03
4.87857,0.03
5.08571,0.03
5.29286,0.03
5.5,0.03
5.8,0.03
6.28235,0.03
6.76471,0.03
7.24706,0.03
7.72941,0.03
8.21176,0.03
8.69412,0.03
9.17647,0.03
9.65882,0.03
10.1412,0.03
10.6235,0.03
11.1059,0.03
11.5882,0.03
12.0706,0.03
12.5529,0.03
13.0353,0.03
13.5176,0.03
14,0.03
