wavelength_um,emissivity
0.3,0.1
0.32,0.1
0.34,0.1
0.36,0.12
0.38,0.12
0.4,0.12
0.42,0.12
0.44,0.12
0.46,0.12
0.48,0.12
0.5,0.12
0.52,0.12
0.54,0.12
0.56,0.12
0.58,0.12
0.6,0.12
0.62,0.12
0.64,0.12
0.66,0.12
0.68,0.12
0.7,0.12
0.72,0.12
0.74,0.12
0.76,0.12
0.78,0.12
0.8,0.12
0.82,0.12
0.84,0.12
0.86,0.12
0.88,0.12
0.9,0.12
0.92,0.12
0.94,0.12
0.96,0.12
0.98,0.12
1,0.12
1.05,0.12
1.15357,0.12
1.25714,0.12
1.36071,0.12
1.46429,0.12
1.56786,0.12
1.67143,0.12
1.775,0.12
1.87857,0.12
1.98214,0.12
2.08571,0.12
2.18929,0.12
2.29286,0.12
2.39643,0.12
2.5,0.85
2.6,0.85
2.80714,0.85
3.01429,0.85
3.22143,0.85
3.42857,0.85
3.63571,0.85
3.84286,0.85
4.05,0.85
4.25714,0.85
4.46429,0.85
4.67143,0.85
4.87857,0.85
5.08571,0.92
5.29286,0.92
5.5,0.92
5.8,0.92
6.28235,0.92
6.76471,0.92
7.24706,0.92
7.72941,0.92
8.21176,0.92
8.69412,0.92
9.17647,0.92
9.65882,0.92
10.1412,0.92
10.6235,0.92
11.1059,0.92
11.5882,0.92
12.0706,0.92
12.5529,0.92
13.0353,0.92
13.5176,0.92
14,0.92
