wavelength_um,emissivity
0.3,0.4
0.32,0.37
0.34,0.34
0.36,0.31
0.38,0.28
0.4,0.25
0.42,0.22
0.44,0.19
0.46,0.16
0.48,0.13
0.5,0.1
0.52,0.095
0.54,0.09
0.56,0.085
0.58,0.08
0.6,0.075
0.62,0.07
0.64,0.065
0.66,0.06
0.68,0.055
0.7,0.04
0.72,0.0398462
0.74,0.0396923
0.76,0.0395385
0.78,0.0393846
0.8,0.0392308
0.82,0.0390769
0.84,0.0389231
0.86,0.0387692
0.88,0.0386154
0.9,0.0384615
0.92,0.0383077
0.94,0.0381538
0.96,0.038
0.98,0.0378462
1,0.0376923
1.05,0.0373077
1.15357,0.036511
1.25714,0.0357143
1.36071,0.0349176
1.46429,0.0341209
1.56786,0.0333242
1.67143,0.0325275
1.775,0.0317308
1.87857,0.0309341
1.98214,0.0301374
2.08571,0.02
2.18929,0.02
2.29286,0.02
2.39643,0.02
2.5,0.02
2.6,0.02
2.80714,0.02
3.01429,0.02
3.22143,0.02
3.42857,0.02
3.63571,0.02
3.84286,0.02
4.05,0.02
4.25714,0.02
4.46429,0.02
4.67143,0.02
4.87857,0.02
5.08571,0.02
5.29286,0.02
5.5,0.02
5.8,0.02
6.28235,0.02
6.76471,0.02
7.24706,0.02
7.72941,0.02
8.21176,0.02
8.69412,0.02
9.17647,0.02
9.65882,0.02
10.1412,0.02
10.6235,0.02
11.1059,0.02
11.5882,0.02
12.0706,0.02
12.5529,0.02
13.0353,0.02
13.5176,0.02
14,0.02
