wavelength_um,emissivity
0.3,0.93
0.32,0.930235
0.34,0.930471
0.36,0.930706
0.38,0.930941
0.4,0.931176
0.42,0.931412
0.44,0.931647
0.46,0.931882
0.48,0.932118
0.5,0.932353
0.52,0.932588
0.54,0.932824
0.56,0.933059
0.58,0.933294
0.6,0.933529
0.62,0.933765
0.64,0.934
0.66,0.934235
0.68,0.934471
0.7,0.934706
0.72,0.934941
0.74,0.935176
0.76,0.935412
0.78,0.935647
0.8,0.935882
0.82,0.936118
0.84,0.936353
0.86,0.936588
0.88,0.936824
0.9,0.937059
0.92,0.937294
0.94,0.937529
0.96,0.937765
0.98,0.938
1,0.938235
1.05,0.938824
1.15357,0.940042
1.25714,0.941261
1.36071,0.942479
1.46429,0.943697
1.56786,0.944916
1.67143,0.946134
1.775,0.947353
1.87857,0.948571
1.98214,0.94979
2.08571,0.950071
2.18929,0.950158
2.29286,0.950244
2.39643,0.95033
2.5,0.950417
2.6,0.9505
2.80714,0.950673
3.01429,0.950845
3.22143,0.951018
3.42857,0.95119
3.63571,0.951363
3.84286,0.951536
4.05,0.951708
4.25714,0.951881
4.46429,0.952054
4.67143,0.952226
4.87857,0.952399
5.08571,0.952571
5.29286,0.952744
5.5,0.952917
5.8,0.953167
6.28235,0.953569
6.76471,0.953971
7.24706,0.954373
7.72941,0.954775
8.21176,0.955176
8.69412,0.955578
9.17647,0.95598
9.65882,0.956382
10.1412,0.956784
10.6235,0.957186
11.1059,0.957588
11.5882,0.95799
12.0706,0.958392
12.5529,0.958794
13.0353,0.959196
13.5176,0.959598
14,0.96
