wavelength_um,emissivity
0.3,0.15
0.32,0.15
0.34,0.15
0.36,0.15
0.38,0.15
0.4,0.1
0.42,0.101333
0.44,0.102667
0.46,0.104
0.48,0.105333
0.5,0.106667
0.52,0.108
0.54,0.109333
0.56,0.110667
0.58,0.112
0.6,0.113333
0.62,0.114667
0.64,0.116
0.66,0.117333
0.68,0.118667
0.7,0.15
0.72,0.156667
0.74,0.163333
0.76,0.17
0.78,0.176667
0.8,0.183333
0.82,0.19
0.84,0.196667
0.86,0.203333
0.88,0.21
0.9,0.216667
0.92,0.223333
0.94,0.23
0.96,0.236667
0.98,0.243333
1,0.25
1.05,0.266667
1.15357,0.30119
1.25714,0.335714
1.36071,0.370238
1.46429,0.404762
1.56786,0.439286
1.67143,0.47381
1.775,0.508333
1.87857,0.542857
1.98214,0.577381
2.08571,0.611905
2.18929,0.646429
2.29286,0.680952
2.39643,0.715476
2.5,0.9
2.6,0.900174
2.80714,0.900534
3.01429,0.900894
3.22143,0.901255
3.42857,0.901615
3.63571,0.901975
3.84286,0.902335
4.05,0.902696
4.25714,0.903056
4.46429,0.903416
4.67143,0.903776
4.87857,0.904137
5.08571,0.904497
5.29286,0.904857
5.5,0.905217
5.8,0.905739
6.28235,0.906578
6.76471,0.907417
7.24706,0.908256
7.72941,0.909095
8.21176,0.909934
8.69412,0.910772
9.17647,0.911611
9.65882,0.91245
10.1412,0.913289
10.6235,0.914128
11.1059,0.914967
11.5882,0.915806
12.0706,0.916645
12.5529,0.917483
13.0353,0.918322
13.5176,0.919161
14,0.92
