wavelength_um,emissivity
0.3,0.6
0.32,0.6
0.34,0.6
0.36,0.6
0.38,0.6
0.4,0.6
0.42,0.6
0.44,0.6
0.46,0.6
0.48,0.6
0.5,0.55
0.52,0.55
0.54,0.55
0.56,0.55
0.58,0.55
0.6,0.55
0.62,0.55
0.64,0.55
0.66,0.55
0.68,0.55
0.7,0.55
0.72,0.55
0.74,0.55
0.76,0.55
0.78,0.55
0.8,0.55
0.82,0.55
0.84,0.55
0.86,0.55
0.88,0.55
0.9,0.55
0.92,0.55
0.94,0.55
0.96,0.55
0.98,0.55
1,0.7
1.05,0.7
1.15357,0.7
1.25714,0.7
1.36071,0.7
1.46429,0.7
1.56786,0.7
1.67143,0.7
1.775,0.7
1.87857,0.7
1.98214,0.7
2.08571,0.7
2.18929,0.7
2.29286,0.7
2.39643,0.7
2.5,0.9
2.6,0.9
2.80714,0.9
3.01429,0.9
3.22143,0.9
3.42857,0.9
3.63571,0.9
3.84286,0.9
4.05,0.9
4.25714,0.9
4.46429,0.9
4.67143,0.9
4.87857,0.9
5.08571,0.9
5.29286,0.9
5.5,0.9
5.8,0.9
6.28235,0.9
6.76471,0.9
7.24706,0.9
7.72941,0.9
8.21176,0.82
8.69412,0.82
9.17647,0.82
9.65882,0.92
10.1412,0.92
10.6235,0.92
11.1059,0.92
11.5882,0.92
12.0706,0.92
12.5529,0.92
13.0353,0.92
13.5176,0.92
14,0.92
