wavelength_um,emissivity
0.3,0.35
0.32,0.348571
0.34,0.347143
0.36,0.345714
0.38,0.344286
0.4,0.342857
0.42,0.341429
0.44,0.34
0.46,0.338571
0.48,0.337143
0.5,0.335714
0.52,0.334286
0.54,0.332857
0.56,0.331429
0.58,0.33
0.6,0.328571
0.62,0.327143
0.64,0.325714
0.66,0.324286
0.68,0.322857
0.7,0.321429
0.72,0.32
0.74,0.318571
0.76,0.317143
0.78,0.315714
0.8,0.314286
0.82,0.312857
0.84,0.311429
0.86,0.31
0.88,0.308571
0.9,0.307143
0.92,0.305714
0.94,0.304286
0.96,0.302857
0.98,0.301429
1,0.28
1.05,0.27925
1.15357,0.277696
1.25714,0.276143
1.36071,0.274589
1.46429,0.273036
1.56786,0.271482
1.67143,0.269929
1.775,0.268375
1.87857,0.266821
1.98214,0.265268
2.08571,0.263714
2.18929,0.262161
2.29286,0.260607
2.39643,0.259054
2.5,0.2575
2.6,0.256
2.80714,0.252893
3.01429,0.250224
3.22143,0.253461
3.42857,0.256606
3.63571,0.259576
3.84286,0.262294
4.05,0.264686
4.25714,0.266691
4.46429,0.268256
4.67143,0.269338
4.87857,0.269909
5.08571,0.269955
5.29286,0.269473
5.5,0.268478
5.8,0.26618
6.28235,0.260685
6.76471,0.253675
7.24706,0.246144
7.72941,0.239159
8.21176,0.233712
8.69412,0.230574
9.17647,0.230192
9.65882,0.232618
10.1412,0.23751
10.6235,0.244172
11.1059,0.251661
11.5882,0.258915
12.0706,0.264904
12.5529,0.26878
13.0353,0.269992
13.5176,0.26837
14,0.264142
