wavelength_um,emissivity
0.3,0.8
0.32,0.8
0.34,0.8
0.36,0.8
0.38,0.8
0.4,0.8
0.42,0.8
0.44,0.8
0.46,0.8
0.48,0.8
0.5,0.75
0.52,0.75
0.54,0.75
0.56,0.75
0.58,0.75
0.6,0.75
0.62,0.75
0.64,0.75
0.66,0.75
0.68,0.75
0.7,0.75
0.72,0.6
0.74,0.6
0.76,0.6
0.78,0.6
0.8,0.6
0.82,0.6
0.84,0.6
0.86,0.6
0.88,0.6
0.9,0.6
0.92,0.6
0.94,0.6
0.96,0.6
0.98,0.6
1,0.6
1.05,0.6
1.15357,0.6
1.25714,0.6
1.36071,0.7
1.46429,0.7
1.56786,0.7
1.67143,0.7
1.775,0.7
1.87857,0.7
1.98214,0.7
2.08571,0.7
2.18929,0.7
2.29286,0.7
2.39643,0.7
2.5,0.7
2.6,0.96
2.80714,0.96
3.01429,0.96
3.22143,0.96
3.42857,0.96
3.63571,0.96
3.84286,0.96
4.05,0.96
4.25714,0.96
4.46429,0.96
4.67143,0.96
4.87857,0.96
5.08571,0.96
5.29286,0.96
5.5,0.96
5.8,0.96
6.28235,0.96
6.76471,0.96
7.24706,0.96
7.72941,0.96
8.21176,0.96
8.69412,0.96
9.17647,0.96
9.65882,0.96
10.1412,0.96
10.6235,0.96
11.1059,0.96
11.5882,0.96
12.0706,0.96
12.5529,0.96
13.0353,0.96
13.5176,0.96
14,0.96
