wavelength_um,irradiance_W_per_m2_per_um
0.2,99.0233
0.210526,142.796
0.221053,196.509
0.231579,259.861
0.242105,332.091
0.252632,412.064
0.263158,498.378
0.273684,589.471
0.284211,683.72
0.294737,779.518
0.305263,875.347
0.315789,969.819
0.326316,1061.71
0.336842,1149.97
0.347368,1233.73
0.357895,1312.32
0.368421,1385.22
0.378947,1452.07
0.389474,1512.65
0.4,1566.87
0.41,1612.48
0.42,1652.44
0.43,1686.87
0.44,1715.95
0.45,1739.91
0.46,1758.99
0.47,1773.46
0.48,1783.59
0.49,1789.67
0.5,1791.98
0.51,1790.82
0.52,1786.45
0.53,1779.14
0.54,1769.18
0.55,1756.79
0.56,1742.22
0.57,1725.71
0.58,1707.46
0.59,1687.66
0.6,1666.52
0.61,1644.2
0.62,1620.87
0.63,1596.67
0.64,1571.74
0.65,1546.21
0.66,1520.2
0.67,1493.81
0.68,1467.13
0.69,1440.26
0.7,1413.27
0.71,1386.24
0.72,1359.23
0.73,1332.3
0.74,1305.5
0.75,1278.88
0.76,1252.47
0.77,1226.32
0.78,1200.45
0.79,1174.9
0.8,1149.68
0.81,1124.82
0.82,1100.34
0.83,1076.24
0.84,1052.55
0.85,1029.27
0.86,1006.42
0.87,983.985
0.88,961.984
0.89,940.416
0.9,919.283
0.91,898.586
0.92,878.323
0.93,858.492
0.94,839.092
0.95,820.119
0.96,801.567
0.97,783.434
0.98,765.714
0.99,748.401
1,731.489
1.05,652.723
1.1,582.97
1.15,521.325
1.2,466.896
1.25,418.845
1.3,376.408
1.35,338.897
1.4,305.699
1.45,276.279
1.5,250.166
1.55,226.949
1.6,206.27
1.65,187.82
1.7,171.326
1.75,156.556
1.8,143.304
1.85,131.393
1.9,120.668
1.95,110.993
2,102.251
2.05,94.3374
2.1,87.1624
2.15,80.6463
2.2,74.719
2.25,69.3189
2.3,64.3916
2.35,59.8891
2.4,55.7687
2.45,51.9927
2.5,48.5276
2.6,42.4138
2.81818,32.0673
3.03636,24.6742
3.25455,19.284
3.47273,15.2824
3.69091,12.2632
3.90909,9.95172
4.12727,8.15853
4.34545,6.7506
4.56364,5.633
4.78182,4.73692
5,4.01181
5.5,2.80787
6,2.02304
6.5,1.49399
7,1.12698
7.5,0.865982
8,0.676302
8.5,0.535798
9,0.42994
9.5,0.34897
10,0.286186
10.5,0.236903
11,0.197783
11.5,0.166412
12,0.141019
12.5,0.120289
13,0.103231
13.5,0.089092
14,0.0772921
